"","Subject_ID","Age","Gender","Session","Trial","Advisor","stm_Coh","stm_Dir","Decicion_1","Confidence_1","RT_1","Accuracy_1","Score_1","Score_2","Decision_2","Confidence_2","RT_2","Accuracy_2","avd_Decision","adv_Confidence","adv_Accuracy","abs_conf_1","Calibration","Resolution","Benefit","crit_Susceptibility"
"41",1,20,1,1,41,2,0.123,0,0,-0.8,1423,1,92,92,0,-0.8,3383,1,1,0.8,0,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"42",1,20,1,1,42,2,0.123,1,1,0.7,1986,1,82,82,1,0.7,3976,1,1,0.7,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"43",1,20,1,1,43,2,0.123,0,1,0.7,993,0,2,2,1,0.7,2858,0,0,-1,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"44",1,20,1,1,44,2,0.123,0,1,0.7,1063,0,2,68,0,-0.6,3958,1,0,-0.7,1,0.7,1.57098216697147,-0.00717410931314677,66,-0.10568261267728
"45",1,20,1,1,45,2,0.123,1,0,-0.6,1837,0,28,28,0,-0.6,3727,0,1,0.8,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"46",1,20,1,1,46,2,0.123,1,1,0.6,809,1,68,68,1,0.6,2119,1,1,0.9,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"47",1,20,1,1,47,2,0.123,1,1,0.6,1718,1,68,68,1,0.6,3468,1,1,0.9,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"48",1,20,1,1,48,2,0.123,1,0,-0.8,1741,0,-28,-28,0,-0.8,4357,0,1,1,1,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"49",1,20,1,1,49,2,0.123,1,0,-0.6,923,0,28,28,0,-0.6,3523,0,1,0.6,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"50",1,20,1,1,50,2,0.123,0,1,0.9,2241,0,-62,-62,1,0.9,5472,0,0,-0.6,1,0.9,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"51",1,20,1,1,51,2,0.123,1,0,-0.7,963,0,2,28,0,-0.6,3403,0,1,0.8,1,0.7,1.57098216697147,-0.00717410931314677,26,-0.10568261267728
"52",1,20,1,1,52,2,0.123,1,0,-0.6,891,0,28,28,0,-0.6,3311,0,0,-0.6,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"53",1,20,1,1,53,2,0.123,1,1,0.7,1820,1,82,82,1,0.7,3260,1,1,1,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"54",1,20,1,1,54,2,0.123,1,0,-0.7,990,0,2,2,0,-0.7,2445,0,1,0.6,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"55",1,20,1,1,55,2,0.123,0,0,-0.6,1217,1,68,68,0,-0.6,3168,1,0,-1,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"56",1,20,1,1,56,2,0.123,0,1,0.7,870,0,2,-28,1,0.8,2990,0,1,1,0,0.7,1.57098216697147,-0.00717410931314677,-30,-0.10568261267728
"57",1,20,1,1,57,2,0.123,0,1,0.7,1917,0,2,2,1,0.7,3537,0,0,-0.6,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"58",1,20,1,1,58,2,0.123,1,0,-0.8,1318,0,-28,-28,0,-0.8,3358,0,0,-0.8,0,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"59",1,20,1,1,59,2,0.123,0,1,0.6,1085,0,28,28,1,0.6,4410,0,1,0.6,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"60",1,20,1,1,60,2,0.123,0,0,-0.6,922,1,68,28,1,0.6,4492,0,1,0.9,0,0.6,1.57098216697147,-0.00717410931314677,-40,-0.10568261267728
"61",1,20,1,1,61,2,0.123,1,0,-0.6,10460,0,28,28,0,-0.6,12970,0,0,-0.7,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"62",1,20,1,1,62,2,0.123,1,0,-0.6,917,0,28,68,1,0.6,3792,1,1,0.8,1,0.6,1.57098216697147,-0.00717410931314677,40,-0.10568261267728
"63",1,20,1,1,63,2,0.123,0,1,0.7,1502,0,2,28,1,0.6,3827,0,0,-0.8,1,0.7,1.57098216697147,-0.00717410931314677,26,-0.10568261267728
"64",1,20,1,1,64,2,0.123,1,1,0.7,1203,1,82,28,0,-0.6,3828,0,0,-0.8,0,0.7,1.57098216697147,-0.00717410931314677,-54,-0.10568261267728
"65",1,20,1,1,65,2,0.123,1,1,0.7,1322,1,82,82,1,0.7,3412,1,1,1,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"66",1,20,1,1,66,2,0.123,0,1,0.7,2459,0,2,28,1,0.6,4219,0,0,-0.7,1,0.7,1.57098216697147,-0.00717410931314677,26,-0.10568261267728
"67",1,20,1,1,67,2,0.123,1,0,-0.6,1518,0,28,82,1,0.7,4194,1,1,0.9,1,0.6,1.57098216697147,-0.00717410931314677,54,-0.10568261267728
"68",1,20,1,1,68,2,0.123,1,1,0.8,1262,1,92,68,1,0.6,3552,1,0,-0.6,0,0.8,1.57098216697147,-0.00717410931314677,-24,-0.10568261267728
"69",1,20,1,1,69,2,0.123,0,1,0.8,1326,0,-28,2,1,0.7,3666,0,0,-0.9,1,0.8,1.57098216697147,-0.00717410931314677,30,-0.10568261267728
"70",1,20,1,1,70,2,0.123,0,1,0.7,1142,0,2,2,1,0.7,3272,0,0,-0.6,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"71",1,20,1,1,71,2,0.123,0,0,-0.6,993,1,68,68,0,-0.6,2843,1,0,-0.6,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"72",1,20,1,1,72,2,0.123,1,0,-0.8,1355,0,-28,-28,0,-0.8,3205,0,1,1,1,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"73",1,20,1,1,73,2,0.123,0,1,0.6,2655,0,28,28,1,0.6,4600,0,0,-0.8,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"74",1,20,1,1,74,2,0.123,0,0,-0.6,1241,1,68,28,1,0.6,5642,0,1,1,0,0.6,1.57098216697147,-0.00717410931314677,-40,-0.10568261267728
"75",1,20,1,1,75,2,0.123,0,0,-0.6,1083,1,68,68,0,-0.6,2918,1,1,0.9,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"76",1,20,1,1,76,2,0.123,1,0,-0.6,4096,0,28,2,0,-0.7,6531,0,0,-1,0,0.6,1.57098216697147,-0.00717410931314677,-26,-0.10568261267728
"77",1,20,1,1,77,2,0.123,1,0,-0.6,889,0,28,28,0,-0.6,2834,0,0,-0.9,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"78",1,20,1,1,78,2,0.123,1,1,0.9,1405,1,98,98,1,0.9,2760,1,0,-0.6,0,0.9,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"79",1,20,1,1,79,2,0.123,1,1,1,1582,1,100,100,1,1,3487,1,1,0.7,1,1,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"80",1,20,1,1,80,2,0.123,0,1,0.7,1214,0,2,2,1,0.7,2654,0,0,-0.7,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"81",1,20,1,1,81,2,0.123,0,0,-0.6,2562,1,68,68,0,-0.6,4842,1,1,0.7,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"82",1,20,1,1,82,2,0.123,0,0,-0.7,1186,1,82,82,0,-0.7,2976,1,0,-0.9,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"83",1,20,1,1,83,2,0.123,0,1,0.6,938,0,28,28,1,0.6,2764,0,0,-0.9,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"84",1,20,1,1,84,2,0.123,0,0,-0.7,1022,1,82,92,0,-0.8,3182,1,0,-0.8,1,0.7,1.57098216697147,-0.00717410931314677,10,-0.10568261267728
"85",1,20,1,1,85,2,0.123,1,1,0.8,1007,1,92,92,1,0.8,2662,1,1,0.8,1,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"86",1,20,1,1,86,2,0.123,1,0,-0.8,1434,0,-28,28,0,-0.6,4059,0,1,0.8,1,0.8,1.57098216697147,-0.00717410931314677,56,-0.10568261267728
"87",1,20,1,1,87,2,0.123,1,1,0.7,1505,1,82,92,1,0.8,4735,1,1,1,1,0.7,1.57098216697147,-0.00717410931314677,10,-0.10568261267728
"88",1,20,1,1,88,2,0.123,0,0,-0.6,1090,1,68,68,0,-0.6,3755,1,1,0.7,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"89",1,20,1,1,89,2,0.123,0,0,-0.6,963,1,68,82,0,-0.7,2748,1,0,-1,1,0.6,1.57098216697147,-0.00717410931314677,14,-0.10568261267728
"90",1,20,1,1,90,2,0.123,0,0,-0.7,1084,1,82,82,0,-0.7,4770,1,1,0.7,0,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"91",1,20,1,1,91,2,0.123,1,0,-0.6,835,0,28,28,0,-0.6,2645,0,1,1,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"92",1,20,1,1,92,2,0.123,1,1,0.6,1109,1,68,82,1,0.7,3550,1,1,0.9,1,0.6,1.57098216697147,-0.00717410931314677,14,-0.10568261267728
"93",1,20,1,1,93,2,0.123,0,0,-0.7,1385,1,82,82,0,-0.7,3175,1,1,0.9,0,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"94",1,20,1,1,94,2,0.123,1,1,0.8,1722,1,92,98,1,0.9,3692,1,1,0.9,1,0.8,1.57098216697147,-0.00717410931314677,6,-0.10568261267728
"95",1,20,1,1,95,2,0.123,0,0,-0.8,1161,1,92,98,0,-0.9,3386,1,0,-0.9,1,0.8,1.57098216697147,-0.00717410931314677,6,-0.10568261267728
"96",1,20,1,1,96,2,0.123,1,0,-0.7,1201,0,2,28,0,-0.6,5541,0,1,0.7,1,0.7,1.57098216697147,-0.00717410931314677,26,-0.10568261267728
"97",1,20,1,1,97,2,0.123,1,0,-0.7,1121,0,2,2,0,-0.7,2886,0,0,-1,0,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"98",1,20,1,1,98,2,0.123,1,1,0.8,1591,1,92,92,1,0.8,3376,1,1,0.9,1,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"99",1,20,1,1,99,2,0.123,0,0,-0.7,1086,1,82,82,0,-0.7,3517,1,0,-0.6,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"100",1,20,1,1,100,2,0.123,0,1,0.8,1254,0,-28,2,1,0.7,5549,0,0,-0.9,1,0.8,1.57098216697147,-0.00717410931314677,30,-0.10568261267728
"101",1,20,1,1,101,2,0.123,1,0,-0.7,3125,0,2,2,0,-0.7,5210,0,0,-0.6,0,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"102",1,20,1,1,102,2,0.123,0,1,0.7,700,0,2,2,1,0.7,2425,0,0,-1,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"103",1,20,1,1,103,2,0.123,0,0,-0.6,1052,1,68,68,0,-0.6,2957,1,0,-0.7,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"104",1,20,1,1,104,2,0.123,1,1,0.7,3349,1,82,82,1,0.7,5709,1,1,0.9,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"105",1,20,1,1,105,2,0.123,1,0,-0.6,2150,0,28,28,0,-0.6,4060,0,1,0.6,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"106",1,20,1,1,106,2,0.123,1,1,0.8,1913,1,92,92,1,0.8,3668,1,1,0.6,1,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"107",1,20,1,1,107,2,0.123,1,0,-0.8,1836,0,-28,-28,0,-0.8,3941,0,1,0.8,1,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"108",1,20,1,1,108,2,0.123,1,1,0.7,1297,1,82,82,1,0.7,3167,1,1,0.7,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"109",1,20,1,1,109,2,0.123,1,1,0.6,989,1,68,68,1,0.6,3709,1,0,-0.8,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"110",1,20,1,1,110,2,0.123,1,0,-0.7,1230,0,2,2,0,-0.7,3566,0,1,1,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"111",1,20,1,1,111,2,0.123,0,0,-0.6,795,1,68,68,0,-0.6,2830,1,1,0.6,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"112",1,20,1,1,112,2,0.123,0,1,0.6,978,0,28,2,1,0.7,2798,0,1,0.9,0,0.6,1.57098216697147,-0.00717410931314677,-26,-0.10568261267728
"113",1,20,1,1,113,2,0.123,0,0,-0.7,1505,1,82,82,0,-0.7,3390,1,0,-0.9,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"114",1,20,1,1,114,2,0.123,0,1,0.6,880,0,28,28,1,0.6,2610,0,0,-1,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"115",1,20,1,1,115,2,0.123,0,0,-0.6,2240,1,68,68,0,-0.6,4130,1,1,0.7,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"116",1,20,1,1,116,2,0.123,0,1,0.6,2048,0,28,68,0,-0.6,4698,1,0,-0.7,1,0.6,1.57098216697147,-0.00717410931314677,40,-0.10568261267728
"117",1,20,1,1,117,2,0.123,0,0,-0.7,2130,1,82,92,0,-0.8,4856,1,0,-0.9,1,0.7,1.57098216697147,-0.00717410931314677,10,-0.10568261267728
"118",1,20,1,1,118,2,0.123,0,1,0.9,1291,0,-62,-62,1,0.9,3066,0,0,-0.8,1,0.9,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"119",1,20,1,1,119,2,0.123,1,1,0.7,1341,1,82,82,1,0.7,2826,1,0,-1,0,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"120",1,20,1,1,120,2,0.123,1,0,-0.9,1362,0,-62,-62,0,-0.9,3112,0,1,1,1,0.9,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"121",1,20,1,2,121,1,0.123,0,0,-0.6,13918,1,68,82,0,-0.7,15698,1,0,-0.9,1,0.6,1.57098216697147,-0.00717410931314677,14,-0.10568261267728
"122",1,20,1,2,122,1,0.123,0,1,0.6,2549,0,28,68,0,-0.6,6544,1,0,-0.9,1,0.6,1.57098216697147,-0.00717410931314677,40,-0.10568261267728
"123",1,20,1,2,123,1,0.123,0,1,0.6,1861,0,28,2,1,0.7,3766,0,1,0.9,0,0.6,1.57098216697147,-0.00717410931314677,-26,-0.10568261267728
"124",1,20,1,2,124,1,0.123,1,1,0.6,1079,1,68,28,0,-0.6,3104,0,0,-0.8,0,0.6,1.57098216697147,-0.00717410931314677,-40,-0.10568261267728
"125",1,20,1,2,125,1,0.123,1,1,0.6,4179,1,68,28,0,-0.6,6769,0,0,-0.6,0,0.6,1.57098216697147,-0.00717410931314677,-40,-0.10568261267728
"126",1,20,1,2,126,1,0.123,0,1,0.7,1348,0,2,2,1,0.7,3043,0,0,-0.8,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"127",1,20,1,2,127,1,0.123,1,0,-0.6,2363,0,28,28,0,-0.6,4018,0,1,1,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"128",1,20,1,2,128,1,0.123,1,1,0.6,2017,1,68,82,1,0.7,4582,1,1,0.7,1,0.6,1.57098216697147,-0.00717410931314677,14,-0.10568261267728
"129",1,20,1,2,129,1,0.123,1,0,-0.8,4528,0,-28,-28,0,-0.8,6393,0,0,-0.9,0,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"130",1,20,1,2,130,1,0.123,0,1,0.7,2661,0,2,2,1,0.7,4561,0,0,-1,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"131",1,20,1,2,131,1,0.123,0,0,-0.6,2147,1,68,68,0,-0.6,3577,1,1,1,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"132",1,20,1,2,132,1,0.123,0,0,-0.6,4786,1,68,68,0,-0.6,6466,1,1,1,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"133",1,20,1,2,133,1,0.123,0,0,-0.6,3096,1,68,68,0,-0.6,4741,1,1,1,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"134",1,20,1,2,134,1,0.123,1,0,-0.6,985,0,28,28,0,-0.6,2635,0,0,-0.9,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"135",1,20,1,2,135,1,0.123,1,0,-0.6,2744,0,28,28,0,-0.6,4399,0,1,0.6,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"136",1,20,1,2,136,1,0.123,0,0,-0.7,8641,1,82,82,0,-0.7,9941,1,0,-0.7,1,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"137",1,20,1,2,137,1,0.123,1,0,-0.6,973,0,28,28,0,-0.6,2733,0,1,0.8,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"138",1,20,1,2,138,1,0.123,1,0,-0.6,812,0,28,28,0,-0.6,2192,0,0,-0.6,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"139",1,20,1,2,139,1,0.123,0,0,-0.6,866,1,68,68,0,-0.6,3346,1,0,-0.9,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"140",1,20,1,2,140,1,0.123,1,0,-0.6,2034,0,28,28,0,-0.6,5535,0,0,-0.6,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"141",1,20,1,2,141,1,0.123,0,0,-0.6,1113,1,68,2,1,0.7,3863,0,1,0.9,0,0.6,1.57098216697147,-0.00717410931314677,-66,-0.10568261267728
"142",1,20,1,2,142,1,0.123,0,0,-0.6,939,1,68,68,0,-0.6,2289,1,1,1,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"143",1,20,1,2,143,1,0.123,1,0,-0.6,730,0,28,28,0,-0.6,2205,0,1,0.7,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"144",1,20,1,2,144,1,0.123,0,0,-0.6,829,1,68,68,0,-0.6,3804,1,0,-0.7,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"145",1,20,1,2,145,1,0.123,1,0,-0.6,788,0,28,28,0,-0.6,2569,0,1,0.9,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"146",1,20,1,2,146,1,0.123,0,1,0.6,4512,0,28,28,1,0.6,5947,0,0,-0.8,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"147",1,20,1,2,147,1,0.123,1,0,-0.6,977,0,28,28,0,-0.6,2643,0,1,1,1,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"148",1,20,1,2,148,1,0.123,0,0,-0.6,1864,1,68,68,0,-0.6,4059,1,1,0.9,0,0.6,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"149",1,20,1,2,149,1,0.123,1,1,0.7,2626,1,82,82,1,0.7,4201,1,0,-0.9,0,0.7,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"150",1,20,1,2,150,1,0.123,1,0,-0.8,1129,0,-28,-28,0,-0.8,2839,0,0,-0.7,0,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"151",1,20,1,2,151,1,0.123,1,1,1,1734,1,100,100,1,1,4774,1,1,1,1,1,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"152",1,20,1,2,152,1,0.123,1,1,0.9,2980,1,98,98,1,0.9,4420,1,1,0.8,1,0.9,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
"153",1,20,1,2,153,1,0.123,0,1,0.8,1414,0,-28,-28,1,0.8,3104,0,1,0.7,0,0.8,1.57098216697147,-0.00717410931314677,0,-0.10568261267728
